linecode_id,linecode_name,A_p_est,dist_est,x_est,r_est,scenario_id
4,hydrogen,"[300.0000023350937, 299.99999137531734, 300.00000102767, 300.00000128119405]","[712.2217788227019, 379.99999839786705, 1199.9999976162494]",[0.736097582736677 0.45091173947067603 0.4240460405537694 0.37746820110531937; 0.45091173947067603 0.7360975838843847 0.4903839392251408 0.4008477815915172; 0.4240460405537694 0.4903839392251408 0.7360975828735904 0.4181330714904922; 0.37746820110531937 0.4008477815915172 0.4181330714904922 0.7360975828470413],[0.12950573593242415 0.049348 0.049348 0.049348; 0.049348 0.12950573886079378 0.049348 0.049348; 0.049348 0.049348 0.1295057362817579 0.049348; 0.049348 0.049348 0.049348 0.1295057362140182],1
1,pluto,"[242.24866332451055, 300.00000285609127, 134.9003745703919, 300.0000026063183]","[379.9999967201327, 1200.0000109365105, 379.9999974619455]",[0.7428148811529725 0.4903839395025497 0.4008477811285278 0.38730625211530145; 0.4903839395025497 0.7360975826821181 0.41813307079304335 0.4008477810990281; 0.4008477811285278 0.41813307079304335 0.7612066932686947 0.49038393937989294; 0.38730625211530145 0.4008477810990281 0.49038393937989294 0.7360975827082743],[0.24185807900047346 0.049348 0.049348 0.049348; 0.049348 0.20479902956792764 0.049348 0.049348; 0.049348 0.049348 0.3950498519249997 0.049348; 0.049348 0.049348 0.049348 0.20479902969735253],1
10,tw2x16_lv_oh_2w_bundled,"[9.999999912096923, 9.999999910109318]",[99.99999291464074],[0.8429496001996627 0.5742647304370319; 0.5742647304370319 0.8429496002059069],[3.6724599113646526 0.049348; 0.049348 3.6724599120847836],1
7,abc2x16_lv_oh_2w_bundled,"[9.999999905714194, 9.99999990489021]",[99.99999498412588],[0.8429496002197145 0.5742647291367329; 0.5742647291367329 0.8429496002223031],[4.522325671206404 0.049348; 0.049348 4.52232567157497],1
