linecode_id,linecode_name,A_p_est,dist_est,x_est,r_est,scenario_id
4,hydrogen,"[125.88257627664666, 125.88257627664666, 125.88257627664666, 125.88257627664666]","[1470.2579354425025, 1782.2055500362203, 795.4918681654289, 2999.999825715211, 1971.4006497438145, 1263.0863165856113]",[0.7633802721154801 0.4053708683250439 0.39328112327131864 0.36056069575078287; 0.4053708683250439 0.7633802721154801 0.4439643250940204 0.3869418388316194; 0.39328112327131864 0.4439643250940204 0.7633802721154801 0.4149137716340009; 0.36056069575078287 0.3869418388316194 0.4149137716340009 0.7633802721154801],[0.24037778091308937 0.049348 0.049348 0.049348; 0.049348 0.24037778091308937 0.049348 0.049348; 0.049348 0.049348 0.24037778091308937 0.049348; 0.049348 0.049348 0.049348 0.24037778091308937],1
1,pluto,"[300.0000002650449, 300.0000002650449, 300.0000002650449, 300.0000002650449]","[294.23155070962866, 2254.7213190111024, 2251.686568159396, 2999.9997484458563, 2999.999264220987, 748.4744002371228]",[0.7360975829534525 0.5064566289521535 0.37850462580526817 0.36056069736911234; 0.5064566289521535 0.7360975829534525 0.3785892517419847 0.3605607075107197; 0.37850462580526817 0.3785892517419847 0.7360975829534525 0.44779227821062223; 0.36056069736911234 0.3605607075107197 0.44779227821062223 0.7360975829534525],[0.2047990309105304 0.049348 0.049348 0.049348; 0.049348 0.2047990309105304 0.049348 0.049348; 0.049348 0.049348 0.2047990309105304 0.049348; 0.049348 0.049348 0.049348 0.2047990309105304],1
10,tw2x16_lv_oh_2w_bundled,"[12.816347096472803, 12.816347096472803]",[4.024102985549702],[0.8351541474086933 0.7761356582574884; 0.7761356582574884 0.8351541474086933],[2.876293815561989 0.049348; 0.049348 2.876293815561989],1
7,abc2x16_lv_oh_2w_bundled,"[13.460981311967801, 13.460981311967801]",[99.99996899530379],[0.8336124463425281 0.5742647454660325; 0.5742647454660325 0.8336124463425281],[3.3722689114611635 0.049348; 0.049348 3.3722689114611635],1
