linecode_id,linecode_name,A_p_est,dist_est,x_est,r_est,scenario_id
11,uglv_240al_xlpe/nyl/pvc_ug_4w_bundled,"[290.34045574790036, 300.00000294513063, 242.34681274068012, 240.11563231844423]","[12.368425403916415, 18.06588436102517]",[0.737125773837775 0.7055850699207713 0.7055850699207713 0.6569725298773093; 0.7055850699207713 0.7360975826727939 0.6838091580962999 0.6751647020210683; 0.7055850699207713 0.6838091580962999 0.7428021552310328 0.6751647020210683; 0.6569725298773093 0.6751647020210683 0.6751647020210683 0.7430927281639776],[0.19771352159226815 0.049348 0.049348 0.049348; 0.049348 0.19293637577829187 0.049348 0.049348; 0.049348 0.049348 0.2270953888318371 0.049348; 0.049348 0.049348 0.049348 0.22874703679093036],1
9,uglv_185al_xlpe/nyl/pvc_ug_2w_bundled,"[24.913236714872337, 24.913236714896733]",[99.99994240864898],[0.8142726301408465 0.5742647621709668; 0.5742647621709668 0.8142726301408159],[1.8823306670359237 0.049348; 0.049348 1.8823306670341287],1
8,ugsc_16al_xlpe/pvc_ug_2w_bundled,"[12.343797046568984, 12.343797046484962]",[99.99975117233784],[0.836334377399533 0.57426488232875; 0.57426488232875 0.8363343773997468],[3.6263024512144244 0.049348; 0.049348 3.626302451238772],1
