linecode_id,linecode_name,A_p_est,dist_est,x_est,r_est,scenario_id
11,uglv_240al_xlpe/nyl/pvc_ug_4w_bundled,"[300.00000221495003, 300.0000029344951, 235.97606114861875, 238.74638138165878]","[9.999999941652911, 18.66289979115829]",[0.7360975827492585 0.718940752914767 0.718940752914767 0.6595502671987385; 0.718940752914767 0.7360975826739076 0.6971648410902958 0.6755224294960664; 0.718940752914767 0.6971648410902958 0.7436390600873843 0.6755224294960664; 0.6595502671987385 0.6755224294960664 0.6755224294960664 0.7432723895421003],[0.1929363761277767 0.049348 0.049348 0.049348; 0.049348 0.19293637578338232 0.049348 0.049348; 0.049348 0.049348 0.2318941148334208 0.049348; 0.049348 0.049348 0.049348 0.22977592065406086],1
9,uglv_185al_xlpe/nyl/pvc_ug_2w_bundled,"[15.034414303585866, 15.034414304398616]",[99.99986854869661],[0.8301395133263672 0.5742648085786959; 0.5742648085786959 0.8301395133246687],[3.0867480713304998 0.049348; 0.049348 3.0867480711662996],1
8,ugsc_16al_xlpe/pvc_ug_2w_bundled,"[14.198249232541531, 14.198249206132486]",[99.99974638369963],[0.8319372372717692 0.5742648853375546; 0.5742648853375546 0.8319372373302035],[3.159111680539987 0.049348; 0.049348 3.1591116863242132],1
