linecode_id,linecode_name,A_p_est,dist_est,x_est,r_est,scenario_id
12,tw2x16_lv_oh_2w_bundled,"[12.901369808418195, 6.000000229991138]",[166.8693596328608],[0.8349464242068483 0.5420921631938578; 0.5420921631938578 0.8589976965155051],[2.8576636543208993 0.049348; 0.049348 6.087867567726309],1
2,pluto,"[151.34716155414438, 151.34716155414438, 151.34716155414438, 300.0000023430644]","[412.41665778892747, 151.32677773477812, 1199.9999806098854]",[0.7575926047577447 0.48524032979811565 0.4656012392585148 0.3939354041369013; 0.48524032979811565 0.7575926047577447 0.5482352251595877 0.41067080771133163; 0.4656012392585148 0.5482352251595877 0.7575926047577447 0.4181330723809455; 0.3939354041369013 0.41067080771133163 0.4181330723809455 0.7360975827358422],[0.3574826807926547 0.049348 0.049348 0.049348; 0.049348 0.3574826807926547 0.049348 0.049348; 0.049348 0.049348 0.3574826807926547 0.049348; 0.049348 0.049348 0.049348 0.2047990298337628],1
6,hydrogen,"[300.0000012511633, 300.0000012511633, 300.0000012511633, 78.74163298445133]","[30.775780871849328, 3.599560606780259, 111.14268628994931]",[0.7360975828501861 0.6483086025672284 0.6413586642842058 0.5506945706970631; 0.6483086025672284 0.7360975828501861 0.7831408130774639 0.5656241890087139; 0.6413586642842058 0.7831408130774639 0.7360975828501861 0.5676268612171761; 0.5506945706970631 0.5656241890087139 0.5676268612171761 0.7781199528913404],[0.12950573622204217 0.049348 0.049348 0.049348; 0.049348 0.12950573622204217 0.049348 0.049348; 0.049348 0.049348 0.12950573622204217 0.049348; 0.049348 0.049348 0.049348 0.35474325350777985],1
9,abc2x16_lv_oh_2w_bundled,"[14.723395446952757, 6.000000027996574]",[1999.9996736556275],[0.8307962366734649 0.38603688602564995; 0.38603688602564995 0.8589976975731486],[3.0873548545658247 0.049348; 0.049348 7.50431068026872],1
