linecode_id,linecode_name,A_p_est,dist_est,x_est,r_est,scenario_id
4,hydrogen,"[134.65736308660414, 134.65736308660414, 134.65736308660414, 134.65736308660414]","[954.7241354603226, 882.671892500435, 1200.00000210583]",[0.7612633375402196 0.4324998846526649 0.3913648919897086 0.35978231102381886; 0.4324998846526649 0.7612633375402196 0.4374302417280726 0.38349189994961713; 0.3913648919897086 0.4374302417280726 0.7612633375402196 0.41813307125541777; 0.35978231102381886 0.38349189994961713 0.41813307125541777 0.7612633375402196],[0.227929552584222 0.049348 0.049348 0.049348; 0.049348 0.227929552584222 0.049348 0.049348; 0.049348 0.049348 0.227929552584222 0.049348; 0.049348 0.049348 0.049348 0.227929552584222],1
1,pluto,"[300.0000027563391, 300.0000027563391, 300.0000027563391, 300.0000027563391]","[379.9999970758494, 1200.0000102806434, 518.1371818903159]",[0.7360975826925642 0.49038393944373293 0.4008477811404639 0.38302705221055877; 0.49038393944373293 0.7360975826925642 0.41813307082738455 0.3955814652602243; 0.4008477811404639 0.41813307082738455 0.7360975826925642 0.4709016970999496; 0.38302705221055877 0.3955814652602243 0.4709016970999496 0.7360975826925642],[0.20479902961961624 0.049348 0.049348 0.049348; 0.049348 0.20479902961961624 0.049348 0.049348; 0.049348 0.049348 0.20479902961961624 0.049348; 0.049348 0.049348 0.049348 0.20479902961961624],1
10,tw2x16_lv_oh_2w_bundled,"[12.000000126501602, 12.000000126501602]",[7.645805191731561],[0.8372217855640862 0.7358066166543037; 0.7358066166543037 0.8372217855640862],[3.068607867768552 0.049348; 0.049348 3.068607867768552],1
7,abc2x16_lv_oh_2w_bundled,"[12.685353861035466, 12.685353861035466]",[69.47614893705337],[0.8354768960509142 0.5971473030280685; 0.5971473030280685 0.8354768960509142],[3.575444061673015 0.049348; 0.049348 3.575444061673015],1
