linecode_id,linecode_name,A_p_est,dist_est,x_est,r_est,scenario_id
4,hydrogen,"[208.90230719775593, 123.95878337619487, 300.0000019959209, 77.21607229236217]","[4.968516451128427, 3.0600782090083167, 1.9084382421201145, 21.361794210531425, 21.227442225039802, 21.14147973236702]",[0.7474675285490944 0.7628894619182163 0.7933429272401785 0.6712500760060699; 0.7628894619182163 0.7638640917069114 0.8230093853325877 0.6716464969171397; 0.7933429272401785 0.8230093853325877 0.7360975827721952 0.6719014575109599; 0.6712500760060699 0.6716464969171397 0.6719014575109599 0.7787345880367164],[0.16446075911442587 0.049348 0.049348 0.049348; 0.049348 0.2433424900388651 0.049348 0.049348; 0.049348 0.049348 0.12950573602304857 0.049348; 0.049348 0.049348 0.049348 0.3607769584149402],1
1,pluto,"[251.1493447098864, 300.00000246646886, 137.0964865304981, 73.25284364810767]","[1.0000000567783258, 189.72454950543377, 189.7219123016286, 90.68962230207046, 89.68968933962674, 208.9070854697797]",[0.7416812967443528 0.8636167755436668 0.5340269187302777 0.5804051247614553; 0.8636167755436668 0.7360975827229194 0.5340277921119333 0.5811017504543999; 0.5340269187302777 0.5340277921119333 0.7606993745273146 0.5279751726445338; 0.5804051247614553 0.5811017504543999 0.5279751726445338 0.7803899145879784],[0.23503556119284766 0.049348 0.049348 0.049348; 0.049348 0.2047990297698183 0.049348 0.049348; 0.049348 0.049348 0.38951214639470905 0.049348; 0.049348 0.049348 0.049348 0.6859827979388693],1
10,tw2x16_lv_oh_2w_bundled,"[10.749040353322691, 10.000000315136377]",[99.99986245086816],[0.8406803786338095 0.5742648124100886; 0.5742648124100886 0.8429495989334739],[3.4199855270946165 0.049348; 0.049348 3.672459765338952],1
7,abc2x16_lv_oh_2w_bundled,"[9.999999910785577, 9.999999911080126]",[99.999993501508],[0.8429496002037823 0.5742647300682914; 0.5742647300682914 0.842949600202857],[4.522325668937985 0.049348; 0.049348 4.522325668806235],1
