linecode_id,linecode_name,A_p_est,dist_est,x_est,r_est,scenario_id
11,uglv_240al_xlpe/nyl/pvc_ug_4w_bundled,"[300.00000292529234, 300.00000292529234, 300.00000292529234, 275.4831938559145]","[10.00000010600528, 13.03123425658489]",[0.7360975826748714 0.7189407518821082 0.7189407518821082 0.675068355671514; 0.7189407518821082 0.7360975826748714 0.697164840057637 0.694197281450372; 0.7189407518821082 0.697164840057637 0.7360975826748714 0.694197281450372; 0.675068355671514 0.694197281450372 0.694197281450372 0.7387759807728511],[0.19293637578778702 0.049348 0.049348 0.049348; 0.049348 0.19293637578778702 0.049348 0.049348; 0.049348 0.049348 0.19293637578778702 0.049348; 0.049348 0.049348 0.049348 0.2057151182747515],1
9,uglv_185al_xlpe/nyl/pvc_ug_2w_bundled,"[14.63155860563727, 14.631365658239531]",[99.99992073524538],[0.8309928069432968 0.5742647757888091; 0.5742647757888091 0.830993221230758],[3.1703778443892303 0.049348; 0.049348 3.170419002173186],1
8,ugsc_16al_xlpe/pvc_ug_2w_bundled,"[13.420543173444694, 13.419667653206002]",[99.99979475437883],[0.8337069652020382 0.5742648549452197; 0.5742648549452197 0.8337090147644548],[3.339319144981567 0.049348; 0.049348 3.3395337878770976],1
