linecode_id,linecode_name,A_p_est,dist_est,x_est,r_est,scenario_id
10,ugsc_16al_xlpe/pvc_ug_2w_bundled,"[13.570018266540737, 13.570018266543132]",[1999.9962517032557],[0.8333589948536716 0.3860369935298152; 0.3860369935298152 0.8333589948536662],[3.3030797874862308 0.049348; 0.049348 3.3030797874856566],1
11,uglv_185al_xlpe/nyl/pvc_ug_2w_bundled,"[13.147022752966086, 13.14702275296293]",[1999.9987968039432],[0.834353860831724 0.38603691357283304; 0.38603691357283304 0.8343538608317316],[3.5227983724671383 0.049348; 0.049348 3.522798372467972],1
13,uglv_240al_xlpe/nyl/pvc_ug_4w_bundled,"[300.00000228453916, 300.00000254527953, 300.00000262012, 223.38988811391005]","[1.8201059803703512, 2.5296457075999936, 1.771638796771968, 10.883271040347786, 9.694389240673363, 8.35415628874267]",[0.7360975827419711 0.8259870254128018 0.8053037032723052 0.7136225420908442; 0.8259870254128018 0.7360975827146663 0.8276828446468212 0.7208909198262017; 0.8053037032723052 0.8276828446468212 0.736097582706829 0.7302395746808038; 0.7136225420908442 0.7208909198262017 0.7302395746808038 0.7453610257756176],[0.1929363760944694 0.049348 0.049348 0.049348; 0.049348 0.19293637596967178 0.049348 0.049348; 0.049348 0.049348 0.19293637593385105 0.049348; 0.049348 0.049348 0.049348 0.24217907897170657],1
